id,x,y
9100755605,2.2948458,41.6150155
9100756365,2.2903800,41.6100748
9100762486,2.2887494,41.5936550
128003,2.2941506,41.6133433
9100733969,2.2466144,41.5683377
9100746992,2.2335471,41.5546655
9100659648,2.2778844,41.6111420
9100662674,2.2809997,41.6098151
9100681160,2.2678223,41.5946422
9100043170,2.2776200,41.6000581
9100422647,2.2765848,41.6138166
9100422647,2.2765848,41.6138166
9100190779,2.2128282,41.5376150
9100271543,2.2102490,41.5340160
9100305166,2.2063516,41.5319198
9100305167,2.2097139,41.5344906
9100354651,2.2116133,41.5368244
9100517197,2.2085748,41.5392350
9100519718,2.2128282,41.5376150
9100054838,2.2112416,41.5452446
9100055377,2.2129105,41.5377848
9100121732,2.2130934,41.5393484
9100281244,2.2190261,41.5431161
9100331748,2.2172619,41.5446492
9100336673,2.2052990,41.5487701
9100336673,2.2052990,41.5487701
9100341736,2.2054979,41.5472380
9100369998,2.2132852,41.5403600
9100444956,2.2204354,41.5476472
9100486027,2.2102612,41.5442036
9100514208,2.2110252,41.5414845
9100517477,2.2128282,41.5376150
9100520123,2.2126138,41.5375280
9100522192,2.2064397,41.5365029
9100536443,2.2082685,41.5403851
9100536466,2.2084332,41.5346950
9100536469,2.2081840,41.5346681
9100536481,2.2178009,41.5445223
9100497829,2.2179660,41.5455691
9100304652,2.2902828,41.6091422
9100365812,2.2902828,41.6091422
9100447620,2.2901386,41.5995054
9100517443,2.2966772,41.6112168
9100520022,2.2902828,41.6091422
9100480482,2.2874578,41.5918442
9100524060,2.2935300,41.6079447
9100495996,2.2900905,41.6066610
9100153969,2.2874201,41.6060897
9100227012,2.2836169,41.6004999
9100310143,2.2843711,41.6052993
9100338196,2.2848532,41.6022445
9100340260,2.2901218,41.5929397
9100420786,2.2849912,41.6008185
9100420786,2.2849912,41.6008185
9100445926,2.2862953,41.6073341
9100506888,2.2862277,41.6128208
9100507154,2.2868135,41.6110212
9100507921,2.2839377,41.6047532
9100513397,2.2856383,41.6078865
9100525754,2.2829522,41.6066781
9100151566,2.2857091,41.6119638
9100443296,2.2086125,41.5455598
9100443296,2.2086125,41.5455598
9100423767,2.2614494,41.5914669
9100420785,2.2787148,41.5864105
9100120799,2.2879189,41.6137279
9100122840,2.2899986,41.5978596
9100140860,2.2865995,41.5973528
9100283498,2.2928775,41.6052739
9100522267,2.2091974,41.5382145
9100054744,2.2175419,41.5334748
9100054778,2.2190209,41.5406662
9100054857,2.2086022,41.5342606
9100055224,2.2099801,41.5396122
9100055497,2.2181763,41.5394682
9100055508,2.2126637,41.5376026
9100056293,2.2116836,41.5373806
9100075499,2.2142802,41.5343759
9100403364,2.2099801,41.5396122
9100403364,2.2099801,41.5396122
9100043749,2.2127274,41.5440011
9100054481,2.2091222,41.5325847
9100054565,2.2167283,41.5442201
9100054732,2.2097257,41.5433826
9100054873,2.2091274,41.5439659
9100055568,2.2128459,41.5397838
9100184449,2.2133356,41.5387104
9100366732,2.2194830,41.5443121
9100366733,2.2189898,41.5439145
9100553669,2.2089742,41.5490650
9100629788,2.2158511,41.5358663
9100655002,2.2158262,41.5335224
9100655372,2.2193309,41.5479989
9100680393,2.2128798,41.5417561
9100530919,2.2190261,41.5431161
9100054639,2.2102836,41.5412876
9100054644,2.2136925,41.5396471
9100054973,2.2095811,41.5432985
9100056047,2.2041449,41.5462592
9100054513,2.2059673,41.5364637
9100040724,2.2884246,41.6068851
9100041355,2.2902828,41.6091422
9100041765,2.2883743,41.5974116
9100041774,2.2917028,41.6129399
9100041990,2.2916653,41.6128008
9100042037,2.2903973,41.6072964
9100042037,2.2903973,41.6072964
9100042491,2.2893517,41.6048363
9100043799,2.2932558,41.6132830
9100044409,2.2930628,41.6183051
9100076613,2.2893517,41.6048363
9100134890,2.2948382,41.6128906
9100264654,2.2905456,41.6050949
9100521595,2.2916653,41.6128008
9100521678,2.2745725,41.5999439
9100521678,2.2745725,41.5999439
9100633076,2.2879211,41.6034961
9100755674,2.2948382,41.6128906
9100761572,2.2884292,41.5975345
9100765851,2.2902072,41.5979909
9100366724,2.2083603,41.5479180
9100042829,2.2866014,41.6009244
9100042612,2.2895960,41.6137480
9100043364,2.2869413,41.6078514
9100043381,2.2848276,41.6067998
9100059282,2.2859478,41.6003820
9100121164,2.2836169,41.6004999
9100373422,2.2860180,41.6089721
9100041564,2.2900731,41.6120428
9100042249,2.2778844,41.6111420
9100042942,2.2830445,41.6063647
9100043866,2.2902828,41.6091422
9100110789,2.2778844,41.6111420
128051,2.2112807,41.5385814
9100498065,2.2113414,41.5358970
9100501076,2.2872104,41.6079613
9100502995,2.2941506,41.6133433
9100503205,2.2172619,41.5446492
9100529181,2.2204354,41.5476472
9100535260,2.2868135,41.6110212
9100536475,2.2099801,41.5396122
9100538933,2.2902828,41.6091422
9100539485,2.2113467,41.5382678
9100540782,2.2089661,41.5469214
9100542069,2.2127664,41.5389993
9100544203,2.2092940,41.5435383
9100544826,2.2037207,41.5472792
9100545628,2.2122023,41.5377822
9100550379,2.2836169,41.6004999
9100552330,2.2166876,41.5401113
9100553092,2.2921283,41.6122100
9100554598,2.2905456,41.6050949
9100556448,2.2172160,41.5347593
9100556449,2.2204354,41.5476472
9100558804,2.2893517,41.6048363
9100559291,2.2913767,41.5987086
9100566254,2.2103227,41.5390911
9100568067,2.2781179,41.6099253
9100568310,2.2107797,41.5358796
9100579782,2.2749209,41.6142376
9100582978,2.2094442,41.5404481
9100583212,2.2198141,41.5480364
9100591127,2.2128282,41.5376150
9100603628,2.2948382,41.6128906
9100607321,2.2048012,41.5475288
9100607527,2.2946433,41.6212710
9100495381,2.2890613,41.6082392
