id,x,y
9100110641,2.2558745,42.0606621
9100577666,2.3160025,41.9379237
9100577666,2.3160025,41.9379237
9100282736,2.2959777,42.0747765
9100572141,2.2988127,41.9290515
9100433466,2.2415844,42.0031722
9100220279,2.2844174,41.9240718
9100160124,2.3098611,41.9842883
9100397795,2.2187303,41.9604417
9100059032,2.2793945,41.9257923
9100122540,2.2965618,42.0751312
9100255064,2.1801599,41.9359546
9100058278,2.2668592,42.0455750
9100577693,2.2183972,41.8484694
9100041762,2.2338386,41.5731338
9100044050,2.2670557,41.5425450
9100054518,2.1963277,41.5629993
9100184803,2.2204658,41.6146683
9100601539,2.2480812,41.5515189
9100381913,2.3495103,41.5989840
9100579833,2.3244213,41.9231156
9100206314,2.2189237,41.7967600
9100648393,2.2420281,42.0186373
9100597817,2.2619851,42.0467040
9100652762,2.2605972,42.0471788
9100159533,2.2449807,42.0154462
9100041008,2.2869478,41.6129094
9100450636,2.2497544,41.5492483
9100468310,2.2105956,41.5852616
9100493210,2.2450245,41.5226144
9100299260,2.2318948,41.5356836
9100514207,2.2493274,41.5520324
9100055266,2.2280352,41.5275215
9100042975,2.2778844,41.6111420
9100281245,2.2335076,41.5712669
9100054533,2.2291023,41.5347619
9100268368,2.2474868,41.5774520
9100054998,2.2128282,41.5376150
9100424060,2.2096754,41.5417587
9100424060,2.2096754,41.5417587
9100444038,2.2064101,41.5367615
9100350872,2.2194241,41.5479420
9100350872,2.2194241,41.5479420
9100631930,2.2026414,41.5531014
9100660484,2.2119365,41.5369045
9100663784,2.2191655,41.5408673
9100686343,2.2120439,41.5373051
9100733360,2.2176096,41.5388602
9100745447,2.2172757,41.5433182
9100756398,2.2120439,41.5373051
9100762714,2.2059673,41.5364637
9100765744,2.2175419,41.5334748
9100767546,2.2175419,41.5334748
9100055977,2.2175419,41.5334748
9100055145,2.2161158,41.5428223
9100373406,2.1089413,41.8982599
119751,2.2224956,41.5408211
119751,2.2224956,41.5408211
119751,2.2224956,41.5408211
119751,2.2224956,41.5408211
